Kraftwerksnummer Bundesnetzagentur;Unternehmen;Kraftwerksname;Blockname;"Aufnahme der kommerziellen Stromerzeugung der derzeit in Betrieb befindlichen Erzeugungseinheit
(Datum/Jahr)";Geplante Ausserbetriebnahme;"Quelle Außerbetriebnahme
Abgerufen am 07.11.2019";Kommentar;Energieträger;Netto-Nennleistung (elektrische Wirkleistung) in MW;Geplante endgültige Aufgabe von Netto-Nennleistung (elektrisch) in MW;Art der Stilllegung;Netzreserve / Kapazitätsreserve / Sicherheitsbereitschaft / vorläufig stillgelegt;Systemrelevanz;Quelle
BNA0268;Mark E-AG;Pumpspeicherwerk Rönkhausen;PSW;1969;2025;https://www.sauerlandkurier.de/kreis-olpe/finnentrop/groesste-badewanne-sauerlandes-wird-februar-wieder-gefuellt-10792729.html;wird doch nicht stillgelegt;Pumpspeicher;138;138;Geplante vorläufige Stilllegung (mit StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0273;Stadtwerke Flensburg GmbH;Heizkraftwerk FL;Heizkraftwerk FL 8;1982;2016;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;35;35;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0274;Stadtwerke Flensburg GmbH;Heizkraftwerk FL;Heizkraftwerk FL 7;1978;2016;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;23;23;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0288;Mainova AG;HKW Niederrad;HKW Niederrad Block 2;;2017;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;56;56;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0289a;Mainova AG;HKW West;HKW West M4;;2016;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Energieträger(nicht erneuerbar);20;20;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0313;RWE Power AG;Frimmersdorf;P;1970;2017;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“;Jahr der Sicherheitsbereitschaft;Braunkohle;278;278;Geplante endgültige Stilllegung nach Sicherheitsreserve;Sicherheitsbereitschaft;;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“
BNA0314;RWE Power AG;Frimmersdorf;Q;1973;2017;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“;Jahr der Sicherheitsbereitschaft;Braunkohle;292;292;Geplante endgültige Stilllegung nach Sicherheitsreserve;Sicherheitsbereitschaft;;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“
BNA0331;Uniper Kraftwerke GmbH ;Scholven;C;1969;2020;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;Da 2018 und 2019 keine Stilllegung stattgefunden hat und laut Mail von Uniper kein neues Datum;Steinkohle;345;345;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0355;E.ON Kernkraft GmbH;Grafenrheinfeld;Grafenrheinfeld;1981;2015;gem. Atomausstiegsgesetz;;Kernenergie;1.275;1.275;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0332;Uniper Kraftwerke GmbH ;Scholven;B;1968;2020;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;Da 2018 und 2019 keine Stilllegung stattgefunden hat und laut Mail von Uniper kein neues Datum;Steinkohle;345;345;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0333;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Scholven;Scholven D;1970;2014;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;345;345;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0334;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Scholven;Scholven E;1971;2014;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;345;345;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0335;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Scholven;Scholven F;1979;2014;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;676;676;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0336;Uniper Kraftwerke GmbH ;FWK Buer;;1985;2020;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;Da 2018 und 2019 keine Stilllegung stattgefunden hat und laut Mail von Uniper kein neues Datum;Steinkohle;70;70;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0343;Energieversorgung Gera GmbH;Heizkraftwerk Gera-Nord;;1996;2019;https://www.energieversorgung-gera.de/privatkunden/unternehmen/anlagen-netze.html;;Erdgas;74;74;Geplant vorläufig;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0374;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Staudinger;4;1977;2012;BNA Bericht - Feststellung des Bedarfs an Netzreserve für den Winter 2019/2020 sowie das Jahr 2022/2023;seit 2012 in Netzreserve;Erdgas;572;580;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0378;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Ingolstadt;3;1973;2015;BNA Bericht - Feststellung des Bedarfs an Netzreserve für den Winter 2019/2020 sowie das Jahr 2022/2023;seit 2015 in Netzreserve;Mineralölprodukte;386;375;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0379;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Ingolstadt;4;1974;2015;BNA Bericht - Feststellung des Bedarfs an Netzreserve für den Winter 2019/2020 sowie das Jahr 2022/2023;seit 2015 in Netzreserve;Mineralölprodukte;386;386;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0389;Mark-E Aktiengesellschaft;Heizkraftwerk Hagen-Kabel;H4/5;1980;2016;https://www.wp.de/staedte/herdecke-wetter/cuno-kraftwerk-bleibt-herdecke-trotz-verlusten-erhalten-id11956344.html;;Erdgas;230;230;Geplant vorläufig;Vorläufig stillgelegt;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0413a;RWE Generation SE;Westfalen;Westfalen C;1969;2016;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;284;284;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0419;enercity (Stadtwerke Hannover AG);KWH;B;1975;2019;Smard.de;2019, da kein Stilllegungsdatum zu finden, aber laut smard.de stillgelegt;Erdgas;102;102;Geplant vorläufig;Vorläufig stillgelegt;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0432;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Heilbronn;HLB 5;1965;2015;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Berichte_Fallanalysen/Feststellung_Reservekraftwerksbedarf_2019.pdf?__blob=publicationFile&v=3;seit 2015 in Netzreserve;Steinkohle;125;125;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0433;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Heilbronn;HLB 6;1966;2015;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Berichte_Fallanalysen/Feststellung_Reservekraftwerksbedarf_2019.pdf?__blob=publicationFile&v=3;seit 2015 in Netzreserve;Steinkohle;125;125;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0439;Helmstedter Revier GmbH;Buschhaus;D;1985;2016;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“;Jahr der Sicherheitsbereitschaft;Braunkohle;352;352;Geplante endgültige Stilllegung nach Sicherheitsreserve;Sicherheitsbereitschaft;;Abschlussbericht - Kommission „Wachstum, Strukturwandel und Beschäftigung“
BNA0442;Mark-E AG / Statkraft Markets GmbH;Cuno Heizkraftwerk Herdecke;H6;2007;2020;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;2020, weil noch in Betrieb, aber laut Quelle ab 2018;Erdgas;417;417;Geplante vorläufige Stilllegung (mit StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0447;STEAG GmbH;KW Herne;Herne Block 2;1963;2014;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;133;133;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0449;STEAG GmbH;KW Herne;Herne 3;1966;2017;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Steinkohle;280;280;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0489;RWE Power AG;Goldenberg;E, Besicherung F;1992;2019;Smard.de;2019, da kein Stilllegungsdatum zu finden, aber laut smard.de stillgelegt;Braunkohle;40;40;Geplant vorläufig;Vorläufig stillgelegt;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0490b;RWE Power AG;Goldenberg;Goldenberg F;1993;2015;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Braunkohle;45;45;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0492;RAG Anthrazit Ibbenbüren GmbH;EVA;EVA;2000;2019;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;;"Sonstige Energieträger
(nicht erneuerbar) ";33;33;Geplante endgültige Stilllegung (ohne StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0514;EnBW Energie Baden-Württemberg AG;Rheinhafen-Dampfkraftwerk;RDK 4S;1998;2017;https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/Versorgungssicherheit/Berichte_Fallanalysen/Feststellung_Reservekraftwerksbedarf_2019.pdf?__blob=publicationFile&v=3;seit 2017 in  Netzreserve;Erdgas;353;342;Geplant endgültig;Netzreserve;x;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0526;Gemeinschaftskraftwerk Kiel GmbH;Gemeinschaftskraftwerk Kiel;;1970;2019;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022;;Steinkohle;323;323;Geplante endgültige Stilllegung (mit StA);;;Kraftwerksliste Bundesnetzagentur zum erwarteten Zu- und Rückbau 2019 bis 2022
BNA0544;RheinEnergie AG;HKW Südstadt;HKW Südstadt;1994;2018;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019;;Erdgas;35;35;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
BNA0574b;Statkraft Markets GmbH;Landesbergen Gas;Dampfturbine;1973;2019;Smard.de;2019, da kein Stilllegungsdatum zu finden, aber laut smard.de stillgelegt;Erdgas;431;431;Geplant vorläufig;Vorläufig stillgelegt;;Kraftwerksstilllegungsanzeigenliste der Bundesnetzagentur, Stand: 01.04.2019
